[20:56:29 25/09/21] SUCCESS | Bot Connected
[20:56:46 25/09/21] EVENT | /watchlist command received
[20:56:46 25/09/21] WARNING | Command dispatched with no users
[20:56:49 25/09/21] EVENT | /Anime command received.
[20:56:54 25/09/21] SUCCESS | /Anime: Handling finished
[20:58:19 25/09/21] EVENT | /Anime command received.
[20:58:29 25/09/21] SUCCESS | /Anime: Handling finished
[21:00:12 25/09/21] EVENT | /convert weight command received
[21:01:28 25/09/21] EVENT | /convert currency command received
[21:01:28 25/09/21] WARNING | Handling canceled due to false currency string.
[21:01:57 25/09/21] EVENT | /convert currency command received
[21:01:57 25/09/21] WARNING | Handling canceled due to false currency string.
[21:03:39 25/09/21] EVENT | /convert currency command received
[21:03:39 25/09/21] SUCCESS | /convert currency handling finished
