[19:00:19 26/09/21] SUCCESS | Bot Connected
[19:33:44 26/09/21] EVENT | /imdb command detected in [140496498939920384:140496498939920384]
[19:33:52 26/09/21] SUCCESS | /imdb: Handling finished.
[19:34:04 26/09/21] EVENT | Component event detected: [watchlist_add,msg:891724235704266773,channel:140496498939920384]
[19:34:15 26/09/21] EVENT | /watchlist command received
[19:38:09 26/09/21] EVENT | Component event detected: [watchlist_list,msg:891724235704266773,channel:140496498939920384]
[19:56:21 26/09/21] EVENT | /random choices command received
[19:56:21 26/09/21] SUCCESS | /random choices: handling finished
[19:58:56 26/09/21] EVENT | Component event detected: [watchlist_remove,msg:891724235704266773,channel:140496498939920384]
[19:59:01 26/09/21] EVENT | Component event detected: [watchlist_list,msg:891724235704266773,channel:140496498939920384]
[21:57:57 26/09/21] EVENT | Component event detected: [watchlist_remove,msg:891724235704266773,channel:140496498939920384]
[21:58:28 26/09/21] EVENT | Component event detected: [watchlist_list,msg:891724235704266773,channel:140496498939920384]
