[19:00:19 22/09/21] SUCCESS | Bot Connected
[20:49:58 22/09/21] EVENT | /imdb command detected in [865989456511107113:140496498939920384]
[20:51:36 22/09/21] EVENT | /imdb command detected in [865989456511107113:140496498939920384]
[21:18:17 22/09/21] EVENT | /imdb command detected in [865989456511107113:140496498939920384]
[21:19:25 22/09/21] EVENT | /imdb command detected in [865989456511107113:140496498939920384]
[21:21:32 22/09/21] EVENT | /imdb command detected in [865989456511107113:140496498939920384]
[21:22:44 22/09/21] EVENT | /imdb command detected in [865989456511107113:140496498939920384]
[21:25:52 22/09/21] EVENT | /imdb command detected in [865989456511107113:140496498939920384]
[21:28:12 22/09/21] EVENT | /imdb command detected in [865989456511107113:140496498939920384]
[21:30:48 22/09/21] EVENT | /imdb command detected in [865989456511107113:140496498939920384]
