[12:49:02 18/09/21] SUCCESS | Bot Connected
[12:49:15 18/09/21] EVENT | Component event detected: [tictactoe_4,msg:888723314749612062,channel:865989456511107113]
[12:49:16 18/09/21] EVENT | Component event detected: [tictactoe_1,msg:888723314749612062,channel:865989456511107113]
[12:49:19 18/09/21] EVENT | Component event detected: [tictactoe_5,msg:888723314749612062,channel:865989456511107113]
[12:49:21 18/09/21] EVENT | Component event detected: [tictactoe_6,msg:888723314749612062,channel:865989456511107113]
[12:49:21 18/09/21] EVENT | Game ended. Discarding.
[12:49:31 18/09/21] EVENT | Component event detected: [tictactoe_5,msg:888723401559113778,channel:865989456511107113]
[12:49:47 18/09/21] EVENT | Component event detected: [tictactoe_4,msg:888723401559113778,channel:865989456511107113]
[12:49:52 18/09/21] EVENT | Component event detected: [tictactoe_7,msg:888723401559113778,channel:865989456511107113]
[12:49:53 18/09/21] EVENT | Component event detected: [tictactoe_8,msg:888723401559113778,channel:865989456511107113]
[12:49:55 18/09/21] EVENT | Component event detected: [tictactoe_2,msg:888723401559113778,channel:865989456511107113]
[12:49:56 18/09/21] EVENT | Component event detected: [tictactoe_1,msg:888723401559113778,channel:865989456511107113]
[12:49:58 18/09/21] EVENT | Component event detected: [tictactoe_3,msg:888723401559113778,channel:865989456511107113]
[12:49:59 18/09/21] EVENT | Component event detected: [tictactoe_6,msg:888723401559113778,channel:865989456511107113]
[12:50:00 18/09/21] EVENT | Component event detected: [tictactoe_0,msg:888723401559113778,channel:865989456511107113]
[12:50:01 18/09/21] EVENT | Game ended. Discarding.
