[07:59:14 04/09/21] SUCCESS | Bot Connected
[10:22:13 04/09/21] SUCCESS | Bot Connected
[10:55:24 04/09/21] SUCCESS | Bot Connected
[12:15:22 04/09/21] SUCCESS | Bot Connected
[15:01:54 04/09/21] EVENT | /piratebay command received
[15:02:36 04/09/21] SUCCESS | /piratebay: handling finished
[17:14:21 04/09/21] EVENT | /kessify command received
[17:14:22 04/09/21] SUCCESS | /kessify: command handled
[18:51:29 04/09/21] EVENT | /youtube command detected in [140496498939920384:140496498939920384]
[18:51:31 04/09/21] SUCCESS | /youtube: Handling finished
