[15:20:55 20/09/21] SUCCESS | Bot Connected
[15:20:57 20/09/21] EVENT | Component event detected: [tictactoe_restart,msg:889485586971377694,channel:865989456511107113]
[15:20:57 20/09/21] SUCCESS | Component action handled.
[15:21:03 20/09/21] EVENT | Component event detected: [tictactoe_4,msg:889485586971377694,channel:865989456511107113]
[15:21:04 20/09/21] EVENT | Component event detected: [tictactoe_stop,msg:889485586971377694,channel:865989456511107113]
[15:21:04 20/09/21] SUCCESS | Game stopped.
[15:21:05 20/09/21] EVENT | Component event detected: [tictactoe_restart,msg:889485586971377694,channel:865989456511107113]
[15:21:23 20/09/21] EVENT | Component event detected: [tictactoe_stop,msg:889485586971377694,channel:865989456511107113]
[15:21:23 20/09/21] ERROR | Component call from message not in DB.
[15:21:25 20/09/21] EVENT | Component event detected: [tictactoe_restart,msg:889485586971377694,channel:865989456511107113]
[15:21:58 20/09/21] EVENT | TicTacToe context action detected.
[15:21:59 20/09/21] SUCCESS | TicTacToe game posted.
[15:22:01 20/09/21] EVENT | Component event detected: [tictactoe_stop,msg:889486547144036402,channel:865989456511107113]
[15:22:01 20/09/21] SUCCESS | Game stopped.
[15:22:02 20/09/21] EVENT | Component event detected: [tictactoe_restart,msg:889486547144036402,channel:865989456511107113]
[15:22:10 20/09/21] EVENT | Component event detected: [tictactoe_restart,msg:889486547144036402,channel:865989456511107113]
