[22:15:57 22/08/21] SUCCESS | Bot Connected
[22:15:57 22/08/21] EVENT | /kessify command received
[22:15:58 22/08/21] SUCCESS | /kessify: command handled
[22:16:04 22/08/21] EVENT | /kessify command received
[22:16:04 22/08/21] SUCCESS | /kessify: command handled
[22:16:17 22/08/21] EVENT | /kessify command received
[22:16:23 22/08/21] EVENT | /kessify command received
[22:16:23 22/08/21] SUCCESS | /kessify: command handled
[22:16:41 22/08/21] EVENT | /kessify command received
[22:16:43 22/08/21] SUCCESS | /kessify: command handled
