[19:00:20 21/09/21] SUCCESS | Bot Connected
[19:13:13 21/09/21] EVENT | /youtube command detected in [140496498939920384:140496498939920384]
[19:13:14 21/09/21] SUCCESS | /youtube: Handling finished
[21:26:52 21/09/21] EVENT | /poll command detected in [140496498939920384:140496498939920384]
[21:26:53 21/09/21] SUCCESS | /poll: Handling finished.
[21:27:00 21/09/21] EVENT | Component event detected: [poll_0,msg:889940767206961193,channel:140496498939920384]
[21:27:00 21/09/21] EVENT | Poll choice detected.
[21:27:01 21/09/21] SUCCESS | Poll choice handling finished.
[21:27:04 21/09/21] EVENT | Component event detected: [poll_0,msg:889940767206961193,channel:140496498939920384]
[21:27:04 21/09/21] EVENT | Poll choice detected.
[21:27:04 21/09/21] EVENT | Component event detected: [poll_0,msg:889940767206961193,channel:140496498939920384]
[21:27:04 21/09/21] EVENT | Poll choice detected.
[21:27:04 21/09/21] SUCCESS | Poll choice handling finished.
[21:27:05 21/09/21] SUCCESS | Poll choice handling finished.
[21:27:32 21/09/21] EVENT | Component event detected: [poll_0,msg:889940767206961193,channel:140496498939920384]
[21:27:32 21/09/21] EVENT | Poll choice detected.
[21:27:32 21/09/21] SUCCESS | Poll choice handling finished.
[21:27:48 21/09/21] EVENT | Component event detected: [poll_1,msg:889940767206961193,channel:140496498939920384]
[21:27:48 21/09/21] EVENT | Poll choice detected.
[21:27:48 21/09/21] SUCCESS | Poll choice handling finished.
[21:38:03 21/09/21] EVENT | Component event detected: [poll_0,msg:889940767206961193,channel:140496498939920384]
[21:38:03 21/09/21] EVENT | Poll choice detected.
[21:38:03 21/09/21] SUCCESS | Poll choice handling finished.
[21:46:01 21/09/21] EVENT | Component event detected: [poll_0,msg:889940767206961193,channel:140496498939920384]
[21:46:01 21/09/21] EVENT | Poll choice detected.
[21:46:02 21/09/21] SUCCESS | Poll choice handling finished.
[21:48:55 21/09/21] EVENT | Component event detected: [poll_0,msg:889940767206961193,channel:140496498939920384]
[21:48:56 21/09/21] EVENT | Poll choice detected.
[21:48:56 21/09/21] SUCCESS | Poll choice handling finished.
[22:02:37 21/09/21] EVENT | Component event detected: [poll_0,msg:889940767206961193,channel:140496498939920384]
[22:02:37 21/09/21] EVENT | Poll choice detected.
[22:02:37 21/09/21] SUCCESS | Poll choice handling finished.
[22:02:40 21/09/21] EVENT | Component event detected: [poll_0,msg:889940767206961193,channel:140496498939920384]
[22:02:40 21/09/21] EVENT | Poll choice detected.
[22:02:41 21/09/21] SUCCESS | Poll choice handling finished.
[22:02:44 21/09/21] EVENT | Component event detected: [poll_0,msg:889940767206961193,channel:140496498939920384]
[22:02:44 21/09/21] EVENT | Poll choice detected.
[22:02:45 21/09/21] SUCCESS | Poll choice handling finished.
