[20:26:20 18/09/21] SUCCESS | Bot Connected
[20:27:39 18/09/21] EVENT | TicTacToe context action detected.
[20:27:40 18/09/21] SUCCESS | TicTacToe game posted.
[20:27:45 18/09/21] EVENT | Component event detected: [tictactoe_0,msg:888838701151563796,channel:140496498939920384]
[20:27:46 18/09/21] SUCCESS | Component action handled.
[20:27:49 18/09/21] EVENT | Component event detected: [tictactoe_4,msg:888838701151563796,channel:140496498939920384]
[20:27:49 18/09/21] SUCCESS | Component action handled.
[20:28:11 18/09/21] EVENT | Component event detected: [tictactoe_3,msg:888838701151563796,channel:140496498939920384]
[20:28:11 18/09/21] SUCCESS | Component action handled.
[20:28:15 18/09/21] EVENT | Component event detected: [tictactoe_6,msg:888838701151563796,channel:140496498939920384]
[20:28:15 18/09/21] SUCCESS | Component action handled.
[20:28:16 18/09/21] EVENT | Component event detected: [tictactoe_2,msg:888838701151563796,channel:140496498939920384]
[20:28:17 18/09/21] SUCCESS | Component action handled.
[20:28:19 18/09/21] EVENT | Component event detected: [tictactoe_1,msg:888838701151563796,channel:140496498939920384]
[20:28:20 18/09/21] SUCCESS | Component action handled.
[20:28:21 18/09/21] EVENT | Component event detected: [tictactoe_7,msg:888838701151563796,channel:140496498939920384]
[20:28:21 18/09/21] SUCCESS | Component action handled.
[20:28:25 18/09/21] EVENT | Component event detected: [tictactoe_5,msg:888838701151563796,channel:140496498939920384]
[20:28:26 18/09/21] SUCCESS | Component action handled.
[20:28:28 18/09/21] EVENT | Component event detected: [tictactoe_8,msg:888838701151563796,channel:140496498939920384]
[20:28:29 18/09/21] SUCCESS | Game ended. Discarding.
[20:28:36 18/09/21] EVENT | Component event detected: [tictactoe_restart,msg:888838701151563796,channel:140496498939920384]
[20:28:36 18/09/21] ERROR | Component call from message not in DB.
[20:28:43 18/09/21] EVENT | Component event detected: [tictactoe_restart,msg:888838701151563796,channel:140496498939920384]
[20:28:43 18/09/21] ERROR | Component call from message not in DB.
[20:39:52 18/09/21] EVENT | Component event detected: [tictactoe_restart,msg:888838701151563796,channel:140496498939920384]
[20:39:52 18/09/21] ERROR | Component call from message not in DB.
[20:39:55 18/09/21] EVENT | Component event detected: [tictactoe_stop,msg:888838701151563796,channel:140496498939920384]
[20:39:55 18/09/21] ERROR | Component call from message not in DB.
[21:32:38 18/09/21] EVENT | Component event detected: [tictactoe_2,msg:888729734324830258,channel:865989456511107113]
[21:32:38 18/09/21] ERROR | Component call from message not in DB.
