[07:00:18 30/09/21] SUCCESS | Bot Connected
[17:20:27 30/09/21] EVENT | /imdb command detected in [889120609496338432:140496498939920384]
[17:20:34 30/09/21] SUCCESS | /imdb: Handling finished.
[17:20:47 30/09/21] EVENT | Component event detected: [watchlist_add,msg:893140242633224212,channel:889120609496338432]
[17:22:15 30/09/21] EVENT | Component event detected: [watchlist_list,msg:893140242633224212,channel:889120609496338432]
[17:22:18 30/09/21] EVENT | Component event detected: [watchlist_add,msg:893140242633224212,channel:889120609496338432]
[17:22:20 30/09/21] EVENT | Component event detected: [watchlist_list,msg:893140242633224212,channel:889120609496338432]
[17:22:22 30/09/21] EVENT | Component event detected: [watchlist_remove,msg:893140242633224212,channel:889120609496338432]
[17:22:24 30/09/21] EVENT | Component event detected: [watchlist_list,msg:893140242633224212,channel:889120609496338432]
