[07:00:18 19/09/21] SUCCESS | Bot Connected
[07:01:09 19/09/21] EVENT | Component event detected: [tictactoe_restart,msg:888838701151563796,channel:140496498939920384]
[07:01:09 19/09/21] ERROR | Component call from message not in DB.
[07:01:12 19/09/21] EVENT | Component event detected: [tictactoe_restart,msg:888838701151563796,channel:140496498939920384]
[07:01:12 19/09/21] ERROR | Component call from message not in DB.
[07:01:14 19/09/21] EVENT | Component event detected: [tictactoe_restart,msg:888838701151563796,channel:140496498939920384]
[07:01:14 19/09/21] ERROR | Component call from message not in DB.
[07:01:16 19/09/21] EVENT | Component event detected: [tictactoe_restart,msg:888838701151563796,channel:140496498939920384]
[07:01:16 19/09/21] ERROR | Component call from message not in DB.
[07:01:17 19/09/21] EVENT | Component event detected: [tictactoe_stop,msg:888838701151563796,channel:140496498939920384]
[07:01:17 19/09/21] ERROR | Component call from message not in DB.
[07:01:18 19/09/21] EVENT | Component event detected: [tictactoe_restart,msg:888838701151563796,channel:140496498939920384]
[07:01:18 19/09/21] ERROR | Component call from message not in DB.
[07:01:25 19/09/21] EVENT | Component event detected: [tictactoe_restart,msg:888838701151563796,channel:140496498939920384]
[07:01:25 19/09/21] ERROR | Component call from message not in DB.
[07:01:58 19/09/21] EVENT | Component event detected: [tictactoe_2,msg:888729734324830258,channel:865989456511107113]
[07:01:58 19/09/21] ERROR | Component call from message not in DB.
[07:02:19 19/09/21] EVENT | Component event detected: [tictactoe_restart,msg:888838701151563796,channel:140496498939920384]
[07:02:19 19/09/21] ERROR | Component call from message not in DB.
[08:00:52 19/09/21] EVENT | Component event detected: [tictactoe_stop,msg:888838701151563796,channel:140496498939920384]
[08:00:52 19/09/21] ERROR | Component call from message not in DB.
[08:00:53 19/09/21] EVENT | Component event detected: [tictactoe_restart,msg:888838701151563796,channel:140496498939920384]
[08:00:53 19/09/21] ERROR | Component call from message not in DB.
[08:26:35 19/09/21] EVENT | Component event detected: [tictactoe_stop,msg:888838701151563796,channel:140496498939920384]
[08:26:35 19/09/21] ERROR | Component call from message not in DB.
[12:45:23 19/09/21] EVENT | Component event detected: [tictactoe_stop,msg:888838701151563796,channel:140496498939920384]
[12:45:23 19/09/21] ERROR | Component call from message not in DB.
[14:13:18 19/09/21] EVENT | TicTacToe context action detected.
[14:13:19 19/09/21] SUCCESS | TicTacToe game posted.
[14:13:25 19/09/21] EVENT | Component event detected: [tictactoe_4,msg:889106879815503912,channel:140496498939920384]
[14:13:28 19/09/21] EVENT | Component event detected: [tictactoe_6,msg:889106879815503912,channel:140496498939920384]
[14:13:30 19/09/21] EVENT | Component event detected: [tictactoe_1,msg:889106879815503912,channel:140496498939920384]
[14:13:36 19/09/21] EVENT | Component event detected: [tictactoe_8,msg:889106879815503912,channel:140496498939920384]
[14:13:36 19/09/21] SUCCESS | Game ended. Discarding.
[14:13:38 19/09/21] EVENT | Component event detected: [tictactoe_restart,msg:889106879815503912,channel:140496498939920384]
[14:13:38 19/09/21] ERROR | Component call from message not in DB.
[14:13:41 19/09/21] EVENT | Component event detected: [tictactoe_restart,msg:889106879815503912,channel:140496498939920384]
[14:13:41 19/09/21] ERROR | Component call from message not in DB.
[14:13:43 19/09/21] EVENT | Component event detected: [tictactoe_stop,msg:889106879815503912,channel:140496498939920384]
[14:13:43 19/09/21] ERROR | Component call from message not in DB.
[14:13:51 19/09/21] EVENT | Component event detected: [tictactoe_restart,msg:889106879815503912,channel:140496498939920384]
[14:13:51 19/09/21] ERROR | Component call from message not in DB.
[14:14:01 19/09/21] EVENT | TicTacToe context action detected.
[14:14:02 19/09/21] SUCCESS | TicTacToe game posted.
[14:14:06 19/09/21] EVENT | Component event detected: [tictactoe_4,msg:889107059872776192,channel:140496498939920384]
[14:14:09 19/09/21] EVENT | Component event detected: [tictactoe_5,msg:889107059872776192,channel:140496498939920384]
[14:14:14 19/09/21] EVENT | Component event detected: [tictactoe_7,msg:889107059872776192,channel:140496498939920384]
[14:14:16 19/09/21] EVENT | Component event detected: [tictactoe_0,msg:889107059872776192,channel:140496498939920384]
[14:14:17 19/09/21] SUCCESS | Game ended. Discarding.
[14:14:44 19/09/21] EVENT | TicTacToe context action detected.
[14:14:45 19/09/21] SUCCESS | TicTacToe game posted.
[14:14:46 19/09/21] EVENT | Component event detected: [tictactoe_restart,msg:889107241276411915,channel:140496498939920384]
[14:14:46 19/09/21] SUCCESS | Component action handled.
[14:14:48 19/09/21] EVENT | Component event detected: [tictactoe_stop,msg:889107241276411915,channel:140496498939920384]
[14:14:49 19/09/21] SUCCESS | Game stopped.
[14:14:55 19/09/21] EVENT | Component event detected: [tictactoe_restart,msg:889107241276411915,channel:140496498939920384]
[14:14:55 19/09/21] ERROR | Component call from message not in DB.
[14:15:07 19/09/21] EVENT | TicTacToe context action detected.
[14:15:08 19/09/21] SUCCESS | TicTacToe game posted.
[14:15:10 19/09/21] EVENT | Component event detected: [tictactoe_4,msg:889107336382271500,channel:140496498939920384]
