[12:33:24 29/08/21] SUCCESS | Bot Connected
[12:33:45 29/08/21] EVENT | /poll command detected in [865989456511107113:140496498939920384]
[12:33:46 29/08/21] SUCCESS | /poll: Handling finished.
[12:33:47 29/08/21] EVENT | Component event detected: [poll_0,msg:881471682148188210,channel:865989456511107113]
[12:33:47 29/08/21] EVENT | Poll choice detected.
[12:33:47 29/08/21] ERROR | Failed to edit origin message for poll_0
[12:33:51 29/08/21] EVENT | Component event detected: [poll_1,msg:881471682148188210,channel:865989456511107113]
[12:33:51 29/08/21] EVENT | Poll choice detected.
[12:33:52 29/08/21] ERROR | Failed to edit origin message for poll_1
[12:33:54 29/08/21] EVENT | Component event detected: [poll_0,msg:881471682148188210,channel:865989456511107113]
[12:33:54 29/08/21] EVENT | Poll choice detected.
[12:33:54 29/08/21] SUCCESS | Poll choice handling finished.
[12:34:13 29/08/21] EVENT | Component event detected: [poll_1,msg:881471682148188210,channel:865989456511107113]
[12:34:13 29/08/21] EVENT | Poll choice detected.
[12:34:13 29/08/21] SUCCESS | Poll choice handling finished.
[12:34:16 29/08/21] EVENT | Component event detected: [poll_0,msg:881471682148188210,channel:865989456511107113]
[12:34:16 29/08/21] EVENT | Poll choice detected.
[12:34:16 29/08/21] ERROR | Failed to edit origin message for poll_0
